;Sabor;XGBoost MAE val;XGBoost MAE test
0;sabor 40;7,321281433105469;8,35026741027832
1;sabor 72;1,4536018371582031;1,6567285060882568
2;sabor  4;0,17172552645206451;0,07240188121795654
3;sabor 27;13,633997917175293;15,914931297302246
4;sabor 25;9,300267219543457;10,394800186157227
5;sabor 77;17,164899826049805;17,241514205932617
6;sabor 48;4,0781683921813965;4,18455171585083
7;sabor 53;0,886383593082428;3,9281909465789795
8;sabor 46;4,927573204040527;5,874916076660156
9;sabor 49;3,4038567543029785;2,9523494243621826
10;sabor 15;2,599132537841797;8,63524341583252
11;sabor  8;4,949653625488281;6,171926021575928
12;sabor 18;6,704579830169678;6,883788585662842
13;sabor 78;7,329151153564453;8,126538276672363
14;sabor 57;21,77284049987793;95,67579650878906
15;sabor 42;6,664660930633545;7,172238349914551
16;sabor 43;1,6613165140151978;2,289440393447876
17;sabor 62;7,3890557289123535;8,802142143249512
18;sabor 34;2,7844927310943604;3,216026544570923
19;sabor 29;11,189253807067871;11,65788745880127
20;sabor 45;6,0904340744018555;6,22078275680542
21;sabor 32;8,232548713684082;9,1139497756958
22;sabor 54;0,0;1,1583013534545898
23;sabor  6;8,932573318481445;9,895532608032227
24;sabor 69;107,6413803100586;124,1070327758789
25;sabor  2;4,768673896789551;4,26056432723999
26;sabor 61;399,6855773925781;364,6099548339844
27;sabor 52;5,535765647888184;6,015307903289795
28;sabor 30;0,30616340041160583;0,17719130218029022
29;sabor 23;5,755049705505371;6,882397174835205
30;sabor 55;0,28572437167167664;49,74248504638672
31;sabor 28;9,042813301086426;9,64990234375
32;sabor 36;9,39591121673584;9,728034019470215
33;sabor 41;8,207974433898926;10,768755912780762
34;sabor 10;10,162632942199707;11,143224716186523
35;sabor 67;64,71622467041016;58,71154022216797
36;sabor 68;96,96305847167969;106,50785064697266
37;sabor 16;6,468080997467041;7,954954624176025
38;sabor 38;60,162940979003906;54,81774139404297
39;sabor 24;4,461735725402832;6,166054725646973
40;sabor 17;3,466966390609741;4,046637535095215
41;sabor 71;1,469910979270935;1,628602147102356
42;sabor 37;0,0797523781657219;0,018121343106031418
43;sabor 12;6,831202507019043;8,145425796508789
44;sabor 21;5,656878471374512;5,939831733703613
45;sabor 47;8,228880882263184;9,619863510131836
46;sabor 14;6,0877861976623535;7,035635948181152
47;sabor  3;9,479299545288086;10,716590881347656
48;sabor  7;7,661599636077881;7,793698787689209
49;sabor 76;16,153823852539062;17,94893455505371
50;sabor 20;11,19986629486084;13,292401313781738
51;sabor 39;7,7787675857543945;9,08768367767334
52;sabor 79;5,525031089782715;5,930840492248535
53;sabor 35;9,501007080078125;11,985504150390625
54;sabor 73;11,037445068359375;11,632880210876465
55;sabor 66;104,58305358886719;109,90364074707031
56;sabor 19;9,272071838378906;8,458325386047363
57;sabor 63;174,24192810058594;133,5469970703125
58;sabor 65;78,7607192993164;82,00025177001953
59;sabor 22;10,42182445526123;12,883928298950195
60;sabor 59;163,9227294921875;205,7169952392578
61;sabor 31;6,902919292449951;9,293646812438965
62;sabor 44;6,740277290344238;9,652506828308105
63;sabor 70;1,223266839981079;1,2225395441055298
64;sabor  9;6,333809852600098;7,3879475593566895
65;sabor 60;182,1610107421875;185,54776000976562
66;sabor 33;8,435334205627441;7,274746894836426
67;sabor  5;7,607059478759766;9,608773231506348
68;sabor 74;8,40275764465332;11,2119779586792
69;sabor 26;2,2246854305267334;5,814090728759766
70;sabor 13;9,638476371765137;9,56787109375
71;sabor 64;75,88371276855469;94,44266510009766
72;sabor 11;9,119504928588867;9,455690383911133
73;sabor 56;141,54273986816406;94,43329620361328
74;sabor 51;5,971592426300049;5,603529930114746
75;sabor 50;24,633039474487305;11,595212936401367
76;sabor  1;8,378049850463867;9,431105613708496
77;sabor 58;18,199872970581055;100,37921905517578
78;sabor 75;5,746822834014893;8,259503364562988
