Ajuste Fecha;Dia Semana;Sabor 1;Sabor 2;Sabor 3;Sabor 4;Sabor 5;Sabor 6;Sabor 7;Sabor 8;Sabor 9;Sabor 10;Sabor 11;Sabor 12;Sabor 13;Sabor 14;Sabor 15;Sabor 16;Sabor 17;Sabor 18;Sabor 19;Sabor 20;Sabor 21;Sabor 22;Sabor 23;Sabor 24;Sabor 25;Sabor 26;Sabor 27;Sabor 28;Sabor 29;Sabor 30;Sabor 31;Sabor 32;Sabor 33;Sabor 34;Sabor 35;Sabor 36;Sabor 37;Sabor 38;Sabor 39;Sabor 40;Sabor 41;Sabor 42;Sabor 43;Sabor 44;Sabor 45;Sabor 46;Sabor 47;Sabor 48;Sabor 49;Sabor 50;Sabor 51;Sabor 52;Sabor 53;Sabor 54;Sabor 55;Sabor 56;Sabor 57;Sabor 58;Sabor 59;Sabor 60;Sabor 61;Sabor 62;Sabor 63;Sabor 64;Sabor 65;Sabor 66;Sabor 67;Sabor 68;Sabor 69;Sabor 70;Sabor 71;Sabor 72;Sabor 73;Sabor 74;Sabor 75;Sabor 76;Sabor 77;Sabor 78;Sabor 79;;Total Cantidad
29/7/19 0:00;Miércoles;;;-5,86;-5;-4,98;;;-7,14;;-4,97;;;-6,04;;-5,22;-4,87;;-4,88;;;;;;-6,5;;-5,62;-6,34;;;;-5,71;-1;;-5,89;-7,14;-1;-10,54;-20;;-12;-24;;;;;;;-6,84;-4,95;-166,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/7/19 0:00;Jueves;-10,68;-13,33;-6,12;;;;-19,63;;;;;-6,74;;-6,77;;;;-3,46;-19,8;-7,1;-18,18;-6,9;;;-10,85;-5,52;;-12,6;;;;;;;;;-6,12;;-3;;;;;;;;;-7,32;;-164,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/7/19 0:00;Viernes;-5,92;-14,09;-6,51;;-5,11;;;-6,69;;-5,13;;-14,14;-6,83;;-5,08;-4,99;;-11,8;-6,98;;-5,66;;-10,1;-5,57;;-5,59;;-5,99;;;-14,38;;-4;;-6,01;-30;;;-13;-1;-14;;;;;;;-11,52;;-220,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/8/19 0:00;Sábado;;-11,73;-6,56;-15,13;-4,97;;;;;;;-7,31;;;-11,45;-9,91;;-5,56;-12,88;-6,21;-6,87;;-4,97;-5,23;-6,94;-5,6;-3,9;;-6,99;;-6,31;-1;;;-5,93;-30;;;-15;-24;-14;;;-15,29;;;-1;;-6,14;-250,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/8/19 0:00;Domingo;-4,54;;-6,61;;;;-4,8;-7,33;;;;-14,04;-6,53;-13,5;;;;-6,2;-12,07;-6,24;-5,33;-6,6;-16,02;-11,57;;-12,74;;;;-7,73;-6,28;;-1;-5,78;;-30;;;;;-15;;;-5,61;;;-2;-13,06;;-220,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3/8/19 0:00;Lunes;-20,98;-19,33;-18,71;-5,05;-10,03;;-26,66;-12,53;;-19,99;;-6,83;-19,64;;-22,03;-4,71;;-12,27;-25,21;-6,36;-23,69;-12,67;-10,79;-11,63;-13,35;-10,3;-16,91;;;-4,94;-25,33;-1;-3;-6,37;-5,8;;;;-44;-37;-37;;;-7,05;;;;-18,68;-5,37;-525,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4/8/19 0:00;Martes;-26,56;-34,23;-18,82;-5,01;;;-11,81;-33,33;;-14,76;;-13,51;-23,99;-6,61;-16,38;-20,39;;-30,82;-38,58;-20,05;-18,13;-12,45;-20,13;-21,56;;-20,63;-6,9;-6,21;-13,42;-8,95;-18,92;-1;-2;-6,24;-25,02;-90;-6,35;-20;-26;-25;-16;;;-28,12;;;-1;-12,08;-17,06;-738,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5/8/19 0:00;Miércoles;-4,99;-13,1;-5,42;-5;;;-11,59;;;-4,99;;-6,9;-17,96;-5,9;;;;-5,64;-6,32;;-6,36;-5,66;-5,39;-12,25;-6,74;-4,99;;;;;;-2;;-12,28;;;;;-41;-24;-36;;;;;;;-17,88;;-262,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6/8/19 0:00;Jueves;;;-13,6;;;;;;;;;;;;-5,13;-10,67;;-6,48;-19,17;-7,33;-17,65;;-4,36;-6,05;-6,64;-5,16;-11,78;-12,1;;;-12,23;;-1;-5,37;-6,17;-60;;;-12;-11;-12;;;-13,74;;;;;;-259,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7/8/19 0:00;Viernes;;-6,91;-5,84;;;;;-6,33;;;;-6,93;-5,78;;-10,68;-6,19;;-6,07;-6,25;-7,22;;-12,2;;-5,61;-13,04;-5,6;;;-6,43;;;-5;-4;-5,86;;-30;;;-1;;-25;;;;;;;-6,11;;-188,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
