rain_1h;temp;dew_point;feels_like;temp_min;temp_max;pressure;humidity;wind_speed;wind_deg;wind_gust;clouds_all;Dia Semana_Domingo;Dia Semana_Jueves;Dia Semana_Lunes;Dia Semana_Martes;Dia Semana_Miércoles;Dia Semana_Sábado;Dia Semana_Viernes;weather_main_Clear;weather_main_Clouds;weather_main_Drizzle;weather_main_Mist;weather_main_Rain;weather_description_broken clouds;weather_description_few clouds;weather_description_fog;weather_description_heavy intensity rain;weather_description_light intensity drizzle;weather_description_light rain;weather_description_mist;weather_description_moderate rain;weather_description_overcast clouds;weather_description_scattered clouds;weather_description_sky is clear;weather_description_thunderstorm with light rain;weather_description_thunderstorm with rain;Estacion_Invierno;Estacion_Otoño;Estacion_Primavera;Estacion_Verano;EsFeriado;Sabor 1;Sabor 2;Sabor 3;Sabor 4;Sabor 5;Sabor 6;Sabor 7;Sabor 8;Sabor 9;Sabor 10;Sabor 11;Sabor 12;Sabor 13;Sabor 14;Sabor 15;Sabor 16;Sabor 17;Sabor 18;Sabor 19;Sabor 20;Sabor 21;Sabor 22;Sabor 23;Sabor 24;Sabor 25;Sabor 26;Sabor 27;Sabor 28;Sabor 29;Sabor 30;Sabor 31;Sabor 32;Sabor 33;Sabor 34;Sabor 35;Sabor 36;Sabor 37;Sabor 38;Sabor 39;Sabor 40;Sabor 41;Sabor 42;Sabor 43;Sabor 44;Sabor 45;Sabor 46;Sabor 47;Sabor 48;Sabor 49;Sabor 50;Sabor 51;Sabor 52;Sabor 53;Sabor 54;Sabor 55;Sabor 56;Sabor 57;Sabor 58;Sabor 59;Sabor 60;Sabor 61;Sabor 62;Sabor 63;Sabor 64;Sabor 65;Sabor 66;Sabor 67;Sabor 68;Sabor 69;Sabor 70;Sabor 71;Sabor 72;Sabor 73;Sabor 74;Sabor 75;Sabor 76;Sabor 77;Sabor 78;Sabor 79
0.0;1.1942464298868332;0.6410530199873955;1.1603182238208247;0.5620280474649408;1.4872665534804757;-0.6697112902585411;-0.8461538461538461;-0.8459285295840657;0.45112781954887216;-0.5663025354597998;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;16.63;0.0;0.0;6.05;5.01;0.0;5.34;17.64;5.94;0.0;7.12;0.0;0.0;5.01;0.0;5.68;5.15;23.81;5.58;5.73;5.3;5.63;13.92;0.0;23.72;0.0;25.03;0.0;0.0;10.95;11.94;0.0;12.5;0.0;0.0;0.0;5.68;5.51;0.0;6.53;0.0;5.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;540.0;5.74;0.0;0.0;0.0;0.0;0.0;240.0;0.0;0.0;0.0;0.0;11.3;12.75;0.0;10.0;0.0;10.74;0.0
0.0;1.3787233203869382;0.711088906521945;1.3752600854495003;1.0884573894282632;1.4872665534804757;-0.42841825185656107;-0.8461538461538461;-0.5670767428236674;0.0;-1.1389680207562265;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;11.08;0.0;17.84;0.0;0.0;18.15;10.16;20.35;0.0;17.05;16.97;0.0;11.62;6.7;0.0;5.36;0.0;11.33;17.52;18.14;0.0;16.6;11.45;0.0;11.5;0.0;36.03;18.91;18.22;0.0;0.0;12.14;27.75;0.0;12.9;14.16;0.0;0.0;22.64;5.86;11.65;6.34;0.0;13.36;0.0;22.93;13.62;0.0;4.0;0.0;0.0;5.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;7.43;0.0;0.0;0.0;0.0;0.0;0.0;120.0;1.02;3.04;0.0;17.53;5.7;0.0;0.0;20.0;6.28;5.12
0.0;1.4411616525562048;0.574171491266739;1.399396015163111;0.9665587918015104;1.6424933300994424;-0.46288868591399446;-1.0256410256410255;0.24135910954891607;-0.47619047619047616;0.5726654852964267;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.69;24.95;14.45;25.12;10.17;24.05;17.08;30.97;7.41;22.61;11.81;17.68;19.0;0.0;16.72;11.83;17.12;29.34;38.71;13.89;17.56;24.12;22.92;37.09;22.25;22.5;22.74;13.47;13.53;6.75;6.67;0.0;0.0;5.69;15.35;18.0;13.06;0.0;12.0;12.0;0.0;1.14;0.0;18.74;19.56;1.0;0.0;0.0;5.06;688.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.4565051631602999;0.07610296398611549;1.2807176874668318;0.9687162891046387;1.5348047538200345;-0.7534252015408488;-1.7435897435897436;0.8435852372583477;-0.45112781954887216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;11.7;12.93;5.83;0.0;10.19;23.69;23.52;44.03;5.77;27.55;5.98;31.02;20.97;11.78;17.3;16.53;6.47;12.18;38.07;6.81;35.1;18.09;0.0;41.43;22.16;22.8;27.94;27.05;39.88;6.48;20.13;0.0;8.0;21.66;16.43;54.0;12.55;200.0;24.0;0.0;12.0;0.0;2.09;50.59;13.3;2.0;2.0;33.4;10.14;875.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.84;1.5250188160022866;0.7667244639061135;1.5633442209789492;1.3171521035598708;1.3718166383701191;-1.0341130217227337;-1.1025641025641026;0.11950790861159924;-0.6666666666666666;-0.5663025354597998;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;32.45;42.69;17.05;15.08;0.0;42.03;21.91;32.86;22.8;25.22;22.89;31.7;76.45;12.23;37.13;26.83;5.54;46.61;65.14;13.56;25.35;18.13;33.95;48.47;35.73;40.38;35.58;20.64;39.23;21.25;19.36;0.0;4.0;17.61;21.67;18.0;0.0;0.0;12.0;36.0;12.0;1.11;1.11;43.12;43.48;3.0;3.0;32.88;26.47;1203.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.24;1.085726885440858;1.153143092250272;1.2668857012130466;1.0884573894282632;0.8653892796507401;-1.4554964911185906;-0.1794871794871795;0.24135910954891607;-0.41604010025062654;0.14736472189198682;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;34.28;66.6;45.06;10.06;10.16;77.82;23.38;39.07;28.77;18.09;16.95;31.93;69.76;18.01;45.53;38.61;5.72;34.96;74.62;50.18;67.56;59.52;49.19;35.48;118.59;35.25;37.42;26.03;39.29;13.85;58.82;12.0;20.0;13.81;16.88;0.0;31.38;0.0;36.0;24.0;12.0;3.22;0.0;47.06;51.12;1.0;8.0;26.44;17.21;1600.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15.24;0.672972513062978;1.0240299370108046;0.7485550315424933;0.8856526429341964;0.5646373999514918;-1.2613364952032924;1.0256410256410255;0.09607498535442278;-0.10025062656641603;0.14736472189198682;5.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;32.1;12.57;17.77;5.03;0.0;24.27;38.71;20.06;5.18;11.05;0.0;6.03;30.5;0.0;28.44;10.21;6.34;18.27;19.01;13.41;25.79;16.76;11.09;11.88;14.64;18.15;24.42;13.21;12.66;0.0;17.91;12.0;4.0;4.79;15.57;54.0;6.17;200.0;12.0;12.0;24.0;1.08;6.46;25.38;24.87;1.0;5.0;39.39;5.83;739.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.58;0.5971355331118525;0.9902724307167836;0.6341309402136448;0.8468176914778859;0.2406015037593986;-0.3988721655216258;0.8717948717948718;0.48271821909783236;-0.20050125313283207;0.14736472189198682;3.75;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;10.02;24.43;28.9;5.06;5.04;30.4;22.48;20.27;5.86;17.57;11.52;12.08;30.26;0.0;33.75;17.6;0.0;28.55;51.12;32.86;25.13;24.59;17.0;41.91;30.06;11.49;16.86;12.22;6.08;7.33;31.97;8.0;4.0;10.55;11.9;54.0;0.0;0.0;36.0;24.0;48.0;0.0;1.18;30.28;12.21;0.0;2.0;19.46;11.22;885.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.6508821656325562;0.9492200638055398;0.7241903794435365;0.7281553398058253;0.6723259762309;-0.03447043405743341;0.9743589743589743;0.11950790861159924;0.6516290726817042;-0.1399848964057933;3.75;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;11.26;19.0;5.67;10.06;15.36;24.53;23.85;13.27;5.67;17.63;5.87;17.72;25.23;6.01;21.19;22.56;0.0;29.57;24.41;7.29;35.05;12.2;21.83;17.23;21.11;17.89;5.94;19.2;20.79;13.78;20.34;0.0;4.0;10.41;5.51;2.0;0.0;0.0;0.0;36.0;12.0;1.2;1.03;22.77;24.43;2.0;1.0;6.49;16.01;656.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.08;1.0594807399277417;1.2862791965857174;1.330790735678651;1.0722761596548007;1.1098714528256124;-0.35455303601922294;0.5128205128205128;0.11950790861159924;-0.05012531328320802;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;16.23;30.59;5.82;15.15;10.15;5.94;23.34;19.39;6.61;10.9;5.58;11.79;25.44;6.14;30.53;16.56;0.0;16.06;35.14;12.65;0.0;10.37;16.92;17.57;41.5;11.49;11.05;0.0;12.3;7.3;5.74;4.0;4.0;14.27;17.9;18.0;18.78;0.0;0.0;0.0;0.0;1.01;0.0;24.97;19.11;2.0;3.0;18.87;5.81;589.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
